date,guardian_vader,article_count
2024-10-03,0.041549999999999976,2
2024-10-05,0.9937,1
2024-10-06,-0.9726,1
2024-10-08,-0.8625,1
2024-10-11,0.4404,1
2024-10-13,0.9106,1
2024-10-16,0.1189,1
2024-10-18,0.88695,2
2024-10-20,0.3274,1
2024-10-24,0.82755,2
2024-10-26,0.9343,1
2024-11-04,0.5423,1
2024-11-05,0.431,1
2024-11-11,0.9914,1
2024-11-14,-0.6908,1
2024-11-15,0.9941,1
2024-11-16,0.65795,2
2024-11-20,-0.533,1
2024-11-22,0.90735,2
2024-11-24,-0.8074,1
2024-11-29,0.9331,1
2024-12-02,0.3666666666666667,3
2024-12-04,0.9274,1
2024-12-05,0.3818,1
2024-12-06,0.9524,1
2024-12-09,0.8176,1
2024-12-16,0.9451,1
2024-12-18,0.8943,1
2024-12-22,0.8055,1
2024-12-25,0.8608,1
2024-12-26,0.7425,1
2024-12-28,0.9545,1
2024-12-29,0.9583,1
2025-01-06,0.9157,2
2025-01-07,0.9505,1
2025-01-11,0.3804,1
2025-01-12,0.6705,1
2025-01-19,0.968,1
2025-01-21,0.9577,1
2025-01-23,0.9483,1
2025-01-24,0.8422,1
2025-01-25,0.8648666666666666,3
2025-01-26,0.77885,2
2025-01-28,0.0772,1
2025-01-31,0.7392000000000001,2
2025-02-04,0.9816,1
2025-02-05,-0.9595,1
2025-02-07,0.9595,1
2025-02-10,0.03979999999999998,3
2025-02-16,0.9381,1
2025-02-22,0.8024,1
2025-02-23,0.9878,1
2025-02-25,0.95,1
2025-02-26,0.8173,3
2025-02-27,0.9738,1
2025-02-28,0.4467,1
2025-03-01,0.9297,1
2025-03-03,0.550625,4
2025-03-04,0.9865999999999999,2
2025-03-05,0.9615,1
2025-03-08,0.8817,1
2025-03-10,0.9621,1
2025-03-13,0.56315,2
2025-03-17,0.6723,2
2025-03-21,0.5023,1
2025-03-23,-0.8252,1
2025-03-24,0.9711,1
2025-03-27,-0.6667,1
2025-04-03,-0.06595000000000001,2
2025-04-05,-0.25,1
2025-04-06,0.9937,1
2025-04-07,0.7612,1
2025-04-08,0.9575,1
2025-04-10,-0.4101666666666666,3
2025-04-12,-0.7463,1
2025-04-18,0.5994,2
2025-04-20,0.0442,1
2025-05-09,-0.2481,1
2025-05-10,0.6059,1
2025-05-14,-0.3861,1
2025-05-16,0.9274,1
2025-05-20,0.9686,1
2025-05-22,-0.3094,1
2025-05-23,0.16455,2
2025-06-02,0.9339,2
2025-06-18,0.9749,1
2025-06-20,0.8402,1
2025-06-21,0.128,1
2025-06-23,0.7579,1
2025-06-24,0.9412,1
2025-06-25,0.9513,1
2025-06-26,0.9517,1
2025-06-27,0.9390499999999999,2
2025-06-28,0.4976,1
2025-06-30,0.10703333333333336,3
2025-07-01,0.9856,1
2025-07-06,0.886,1
2025-07-09,0.6655,1
2025-07-11,-0.0922,2
2025-07-21,0.7646,1
2025-07-23,-0.5868,1
2025-07-25,-0.9313,1
2025-08-04,0.9904,1
2025-08-07,0.75,1
2025-08-08,0.9231,1
2025-08-10,0.8748,1
2025-08-12,-0.6641,1
2025-08-13,-0.9178,1
2025-08-16,0.7374,1
2025-08-19,0.9884,1
2025-08-22,0.9268,1
2025-09-02,0.5808,1
2025-09-03,0.9808,1
2025-09-04,-0.2263,1
2025-09-10,0.683,1
2025-09-12,0.5574,1
2025-09-15,-0.15839999999999999,2
2025-09-16,0.9403,1
2025-09-17,0.8107666666666665,3
2025-09-21,0.9732,1
2025-09-23,0.608025,4
2025-09-24,0.9371,1
2025-09-25,0.9712,1
2025-09-29,0.0772,1
2025-10-01,0.74875,2
2025-10-05,0.8777,1
2025-10-07,0.7992,1
2025-10-10,0.9823,1
2025-10-12,0.9909,1
2025-10-13,0.9161,1
2025-10-17,0.81,1
2025-10-18,0.944,1
2025-10-20,0.936,1
2025-10-22,0.9643,1
2025-10-24,-0.5618,1
2025-10-31,0.2023,1
2025-11-01,-0.8433,1
2025-11-07,0.92825,2
2025-11-09,0.9247,1
2025-11-11,0.8675,2
2025-11-12,-0.9661,1
2025-11-13,0.03996666666666667,3
2025-11-18,-0.8016,1
2025-11-21,0.9661,1
2025-11-25,0.3998,1
2025-12-01,0.967,1
2025-12-02,-0.048,1
2025-12-03,-0.128,1
2025-12-04,0.9851,1
2025-12-07,0.82785,2
2025-12-10,0.99,1
2025-12-13,0.6908,1
2025-12-17,0.0258,1
2026-01-01,0.66015,2
2026-01-06,0.9621,1
2026-01-12,0.9217,1
2026-01-14,-0.8689,1
2026-01-15,0.8979,1
2026-01-18,-0.5426,1
2026-01-19,0.24863333333333335,3
2026-01-20,0.9779,1
2026-01-22,0.885,1
2026-01-23,-0.0679,1
2026-01-27,0.9136,1
2026-01-28,0.9652,1
2026-02-02,-0.7003,1
2026-02-05,-0.7644,1
2026-02-11,0.956,2
2026-02-13,0.5874,2
2026-02-22,0.8064,2
2026-02-25,0.8608,1
2026-02-27,0.7862,2
2026-02-28,-0.128,1
2026-03-01,0.4215,1
2026-03-04,0.8422,1
2026-03-05,0.23199999999999998,2
2026-03-08,0.9459,2
2026-03-13,0.99065,2
2026-03-15,0.8443,1
2026-03-16,0.9686,1
2026-03-17,0.8271,1
2026-03-18,0.9391,1
2026-03-22,0.9446,1
2026-03-24,0.9489,1
2026-03-25,0.9217,1
2026-03-26,0.9726,1
2026-03-27,0.91275,2
2026-03-28,0.4939,1
2026-04-01,0.09,1
2026-04-05,-0.8555,1
2026-04-07,0.94955,2
2026-04-08,0.6387,1
2026-04-09,0.8385,1
2026-04-10,0.31384999999999996,2
2026-04-11,0.4848,1
2026-04-12,0.8825,1
2026-04-17,0.5864,1
2026-04-21,-0.9636,1
2026-04-22,-0.4404,1
2026-04-24,0.045133333333333324,3
2026-04-29,-0.14556666666666665,3
2026-04-30,-0.2731,3
2026-05-01,-0.44357500000000005,4
2026-05-02,0.4089,3
