id,date,headline,body,combined,section,url,query
tv-and-radio/2024/oct/03/she-speaks-her-mind-why-stylish-steely-sylvie-grateau-is-the-real-star-of-emily-in-paris,2024-10-03,"‘She speaks her mind’: why stylish, steely Sylvie Grateau is the real star of Emily in Paris","When we first met Emily in Paris’s Sylvie Grateau in 2020, the high-powered marketing manager looked set to represent everything the show’s protagonist was not. Emily was bright-eyed, American and gratingly chirpy; Sylvie was cool, French and had cigarettes for lunch. Emily dressed in vivid colours and clashing prints and wore berets and bucket hats; Sylvie’s wardrobe was all sleek black tailoring – and she would probably rather die than wear anything resembling a bucket. Sylvie (Philippine Leroy-Beaulieu) duly filled the role of the show’s antagonist: opposed to Emily’s very presence in Paris, she challenged her at every turn. But over four seasons, her softer side has emerged. She has fallen in and out of love, shaken off corporate overlords, spoken out against sexism and abuse in the fashion industry and even taken Emily under her wing. And now, it seems, she has become the star of the show. Vogue, Cosmopolitan and Stylist magazines have called for a Sylvie spin-off series. A running joke among fans involves making a pointed tweak to the name of the show: “It’s time for my annual binge watch of Emily in Paris, also known as Sylvie in Paris,” reads one tweet. It wasn’t immediately obvious that Sylvie would evolve into the show’s breakout star. Emily in Paris was, at least at first, about millennial and gen Z culture, anchored by a story about a twentysomething marketing executive becoming big on Instagram. When I met Leroy-Beaulieu on a set visit in April, the actor, 61, was slightly baffled that her character had become such a hit among fans. “I thought [Sylvie] was only going to appeal to an older audience, but she’s a strong character, so I guess for a lot of women that can be inspiring,” she ventured. “She speaks her mind.” She reportedly drew inspiration for Sylvie from her mother, who designed knitwear and accessories for Dior. It’s not the first time a straight-talking, sartorially gifted boss – terrifying in her authority and delicious in her meanness – ha","‘She speaks her mind’: why stylish, steely Sylvie Grateau is the real star of Emily in Paris. When we first met Emily in Paris’s Sylvie Grateau in 2020, the high-powered marketing manager looked set to represent everything the show’s protagonist was not. Emily was bright-eyed, American and gratingly chirpy; Sylvie was cool, French and had cigarettes for lunch. Emily dressed in vivid colours and clashing prints and wore berets and bucket hats; Sylvie’s wardrobe was all sleek black tailoring – and she would probably rather die than wear anything resembling a bucket. Sylvie (Philippine Leroy-Beaulieu) duly filled the role of the show’s antagonist: opposed to Emily’s very presence in Paris, she challenged her at every turn. But over four seasons, her softer side has emerged. She has fallen in and out of love, shaken off corporate overlords, spoken out against sexism and abuse in the fashion industry and even taken Emily under her wing. And now, it seems, she has become the star of the show. Vogue, Cosmopolitan and Stylist magazines have called for a Sylvie spin-off series. A runnin",Television & radio,https://www.theguardian.com/tv-and-radio/2024/oct/03/she-speaks-her-mind-why-stylish-steely-sylvie-grateau-is-the-real-star-of-emily-in-paris,"""devil wears prada"""
fashion/2024/oct/03/fashion-statement-easy-wardrobe-updates-inspired-by-the-catwalks,2024-10-03,"Charity shop suits, anoraks and DIY pom poms: eight easy wardrobe updates inspired by the catwalks","It’s been a whirlwind four weeks of shows, celebrities and competitive street style peacocking. The season kicked off with US first lady Jill Biden swinging by the Ralph Lauren extravaganza in the Hamptons in New York, and wrapped up with Kylie Jenner closing the Coperni show at Disneyland Paris. But while ready-to-wear collections won’t enter stores until next spring, with most pieces carrying a four-figure price tag, there are plenty of catwalk-inspired tweaks you can implement now that don’t require a lot of money – or any at all. Here are eight to get you started … The new high-low mix In fashion it turns out opposites really do attract. Who knew that a yellow rain mac and silver cocktail dress would work so well together? Mrs Prada and Raf Simons, that’s who! The unlikely pairings at their spring/summer 2025 show were an embrace of the confusion created by the internet’s proliferation of micro-trends and -cores. Daniel Lee at Burberry caught the chaos bug, too, popping fuzzy hooded parkas over glittery party dresses. Those lucky enough to have nabbed a ticket to see Oasis next year should take note – it’s the perfect combo for a rainy British summer night. Double up on hosiery At Alessandro Michele’s catwalk debut for Valentino, models wore slingback shoes with lace tights styled underneath pointelle ankle socks. (Sorry gen Z, but it turns out millennials were on to something.) The high street already has plenty of frilly ankle socks on offer, which is handy as we head into colder months. For pom poms like those that adorned some of Valentino’s styles, dig out some old yarn and a fork and follow this DIY tutorial. Fuzz your collar At Emilia Wickstead, preppy shirts were given an unexpected sultry twist with the addition of faux-fur collars. To emulate the trend, visit your local fabric shop and ask for its fuzziest fabrics to give a tactile update to a tired-looking polo. Check the tag Vetements has been disrupting fashion norms for the last decade. Its most re","Charity shop suits, anoraks and DIY pom poms: eight easy wardrobe updates inspired by the catwalks. It’s been a whirlwind four weeks of shows, celebrities and competitive street style peacocking. The season kicked off with US first lady Jill Biden swinging by the Ralph Lauren extravaganza in the Hamptons in New York, and wrapped up with Kylie Jenner closing the Coperni show at Disneyland Paris. But while ready-to-wear collections won’t enter stores until next spring, with most pieces carrying a four-figure price tag, there are plenty of catwalk-inspired tweaks you can implement now that don’t require a lot of money – or any at all. Here are eight to get you started … The new high-low mix In fashion it turns out opposites really do attract. Who knew that a yellow rain mac and silver cocktail dress would work so well together? Mrs Prada and Raf Simons, that’s who! The unlikely pairings at their spring/summer 2025 show were an embrace of the confusion created by the internet’s proliferation of micro-trends and -cores. Daniel Lee at Burberry caught the chaos bug, too, popping fuzzy hoode",Fashion,https://www.theguardian.com/fashion/2024/oct/03/fashion-statement-easy-wardrobe-updates-inspired-by-the-catwalks,"""prada"" AND (""luxury"" OR ""fashion"" OR ""stock"")"
fashion/2024/oct/05/t-shirts-best-jeans-autumn-wardrobe-updates-free,2024-10-05,T-shirts that last and the world’s best jeans: 50 autumn wardrobe updates under £100 (some are even free),"Putting this together has been a joy. I love a bargain. I love a styling trick that makes old clothes feel new. I love finding something that looks expensive but isn’t. And I delight in sharing those finds with other style lovers. Almost everything is under £100. Now, £100 is a lot of money. But the point of this list is not to give you the cheapest possible option in any category because a list of shoddily constructed, unethically produced buys is no good to anyone. Clothes that sag and break aren’t just a false economy – they add landfill to the planet and hassle to your life. Instead, I’ve tried to bring you an honest list of ways to look better at a reasonable price point – just in time for autumn. Some of these tips are my learnings from years spent in design studios and on the shop floor: which high-street brands make the most comfortable shoes, where to find good-value tailoring, how to buy a great handbag if you’ve got champagne taste and a cider budget. Some are practical hacks to elevate the wardrobe you have; others are joyful, mood-boosting payday treats – just not throwaway ones. Enjoy! Try pretty tights this party season Snazzy tights are an excellent addition to your party season fashion toolbox. Nothing brings the party like swapping your opaques for a lace or polka dot pair. Wear with a pencil skirt for cocktail-hour sophistication. Or for maximum fashion points, sport under sheer layers. Very new-season Chloé – without the Chloé price. Polka dot tights, £15.99 calzedonia.com Lace tights, £19.99 calzedonia.com Go for pointed ballerina flats Instant chic, total comfort. A pointed toe makes your feet look prettier and elongates your silhouette. The silver ones with bows from Next are perfect. Pointed ballerina flats, £38 next.co.uk Get to know your best side Almost everyone has one. And almost any celeb who is photographed regularly will have figured out which one it is and mostly stuck to it. Victoria Beckham, for instance, is always left cheekbone t","T-shirts that last and the world’s best jeans: 50 autumn wardrobe updates under £100 (some are even free). Putting this together has been a joy. I love a bargain. I love a styling trick that makes old clothes feel new. I love finding something that looks expensive but isn’t. And I delight in sharing those finds with other style lovers. Almost everything is under £100. Now, £100 is a lot of money. But the point of this list is not to give you the cheapest possible option in any category because a list of shoddily constructed, unethically produced buys is no good to anyone. Clothes that sag and break aren’t just a false economy – they add landfill to the planet and hassle to your life. Instead, I’ve tried to bring you an honest list of ways to look better at a reasonable price point – just in time for autumn. Some of these tips are my learnings from years spent in design studios and on the shop floor: which high-street brands make the most comfortable shoes, where to find good-value tailoring, how to buy a great handbag if you’ve got champagne taste and a cider budget. Some are practical hack",The Filter,https://www.theguardian.com/fashion/2024/oct/05/t-shirts-best-jeans-autumn-wardrobe-updates-free,"""prada"" AND (""luxury"" OR ""fashion"" OR ""stock"")"
commentisfree/2024/oct/06/social-media-isnt-driving-the-plastic-surgery-boom-who-doesnt-want-to-look-better,2024-10-06,Social media isn’t driving the plastic surgery boom. Who doesn’t want to look better?,"Plastic surgery is a brutal business. No wonder it makes a good subject for a horror film. In fact, the subject may be too much for the genre. Hardened gore fans all over the world have been walking out of Demi Moore’s new film, The Substance, in which a “younger, more beautiful, more perfect” version of herself tears its way out of her back. Blank silence has reportedly followed several screenings. It’s imaginative stuff, but not, I suppose, a million miles from the operating room itself. Injecting, stretching, chopping, gouging, poisoning, freezing, stitching, slicing: it’s the grisly and invasive nature of these beauty treatments that make them such a cause for worry, especially when young people decide to do it. The problem is the risk: only two weeks ago, a 33-year-old British woman called Alice Webb died after reportedly undergoing a non-surgical Brazilian butt lift, with a coroner stating further investigation is needed to confirm the cause of death. According to her mother, hospital staff were unable to resuscitate her following the procedure, which had taken place at another location. Last week, another apparent plastic surgery tragedy hit the news – Viviane Lira Monte, 24, died after undergoing six cosmetic procedures during an eight-hour operation in Brazil. It is a concern, then, that rates are soaring. The American Society of Plastic Surgeons reports an increase in custom every year. There has been a boom in Britain too: rates of plastic surgery exploded after the pandemic to higher levels than before it began. The all-party parliamentary group on beauty, aesthetics and wellbeing has said that there was also “rapid growth” in non-surgical treatments such as Botox and filler, which can also be dangerous. Meanwhile, Britons are going abroad in droves to places such as Turkey for cheaper breast implants and liposuction. Why is this happening? Surprisingly, for such a pertinent problem, the answer remains rather vague. Two phrases we often hear are “unreali","Social media isn’t driving the plastic surgery boom. Who doesn’t want to look better?. Plastic surgery is a brutal business. No wonder it makes a good subject for a horror film. In fact, the subject may be too much for the genre. Hardened gore fans all over the world have been walking out of Demi Moore’s new film, The Substance, in which a “younger, more beautiful, more perfect” version of herself tears its way out of her back. Blank silence has reportedly followed several screenings. It’s imaginative stuff, but not, I suppose, a million miles from the operating room itself. Injecting, stretching, chopping, gouging, poisoning, freezing, stitching, slicing: it’s the grisly and invasive nature of these beauty treatments that make them such a cause for worry, especially when young people decide to do it. The problem is the risk: only two weeks ago, a 33-year-old British woman called Alice Webb died after reportedly undergoing a non-surgical Brazilian butt lift, with a coroner stating further investigation is needed to confirm the cause of death. According to her mother, hos",Opinion,https://www.theguardian.com/commentisfree/2024/oct/06/social-media-isnt-driving-the-plastic-surgery-boom-who-doesnt-want-to-look-better,"""devil wears prada"""
business/live/2024/oct/08/uk-borrowing-costs-climb-budget-water-companies-157m-penalty-poor-performance-pollution-leaks-business-live,2024-10-08,Shein’s UK profits double; Water companies penalised for poor performance; China targets EU brandy – as it happened,"Time to recap Online fast fashion retailer Shein has doubled its UK profits after bringing in more than £1.5bn of revenue last year. Water companies in England and Wales must take a total of £157.6m off customer bills after being penalised for poor performance. Regulator Ofwat reported that water companies are missing key targets on reducing pollution, leaks and supply interruptions, while customer satisfaction is falling. China has imposed new tariffs on imports of European brandy, in a apparent retaliation for tariffs added on Chinese electric vehicles by the EU last week, a move France has criticised as unacceptable. Downing Street has dismissed concerns that a potential change to the borrowing rules in the Budget could trigger a Liz Truss-style meltdown…. …after UK borrowing costs climbed sharply in recent days, pushing the gap with Germany to the widest in more than a year. UK engineering firm and aerospace parts maker Senior is cutting jobs and furloughing staff after being hit by the ongoing strike at Boeing, and production problems at Airbus. The US trade deficit has narrowed, thanks to a rise in exports and a dip in imports Snacks and fizzy drinks maker Pepsico has reported a drop in revenues and lowered its full-year sales outlook. Shares in UK housebuilder Vistry are down by a quarter, after it underestimated how much it was going to cost to build hundreds of homes in the south of England. UK grocery inflation has risen to 2% in the last month Stocks have opened higher on Wall Street, after losses yesterday. The S&amp;P 500 share index is up 19 points in early trading at 5,715, a gain of 0.35%. The tech-focused Nasdaq Composite has gained 0.6%, rising by 108 points to 18,032 points. Kathleen Brooks, research director at XTB, are showing a preference for mega cap stocks “as risk aversion bites”, adding: Since the start of Q4, the S&amp;P 500 has outperformed medium-sized companies on the Russell 2000 and it has also outperformed the Dow Jones. Nvidia is hi","Shein’s UK profits double; Water companies penalised for poor performance; China targets EU brandy – as it happened. Time to recap Online fast fashion retailer Shein has doubled its UK profits after bringing in more than £1.5bn of revenue last year. Water companies in England and Wales must take a total of £157.6m off customer bills after being penalised for poor performance. Regulator Ofwat reported that water companies are missing key targets on reducing pollution, leaks and supply interruptions, while customer satisfaction is falling. China has imposed new tariffs on imports of European brandy, in a apparent retaliation for tariffs added on Chinese electric vehicles by the EU last week, a move France has criticised as unacceptable. Downing Street has dismissed concerns that a potential change to the borrowing rules in the Budget could trigger a Liz Truss-style meltdown…. …after UK borrowing costs climbed sharply in recent days, pushing the gap with Germany to the widest in more than a year. UK engineering firm and aerospace parts maker Senior is cutting jobs and furloughing staff after being hit b",Business,https://www.theguardian.com/business/live/2024/oct/08/uk-borrowing-costs-climb-budget-water-companies-157m-penalty-poor-performance-pollution-leaks-business-live,"""LVMH"" AND ""fashion"""
fashion/2024/oct/11/fashion-experts-raise-concern-about-return-to-using-extremely-thin-models,2024-10-11,Fashion experts raise concern about return to ‘extremely thin models’,"Fashion insiders have expressed concerns that previous progress made towards size inclusivity in the industry is being curtailed. Vogue Business released its spring/summer ‘25 size inclusivity report on Tuesday and said: “We are facing a worrying return to using extremely thin models” with “a plateau in size inclusivity efforts across New York, London, Milan and Paris”. Of the 8,763 looks presented across 208 shows in the womenswear collections earlier this month, 94.9% were shown on straight-size models who measure between a US size 0-4 (the equivalent of a UK 4-8). Only 0.8% of models were plus-size, also known as curve (UK 18+), and 4.3% were mid-size (UK 10-16). In Milan, 98% of looks were shown on straight-size models, and Vogue Business said some mid-size figures were skewed by co-ed brands that featured menswear looks modelled by muscular men. “It feels like we’ve taken 10 steps backwards,” said Anna Shillinglaw, the founder of the model agency Milk Management. Thin models have always dominated the catwalks, but in more recent years a wider range of body types had started to be included. Jill Kortleve made headlines at Chanel in 2000 when she became the first model above a UK 8 to be cast in a decade. In another landmark moment for inclusive casting, British Vogue featured Kortleve alongside the plus-size models Paloma Elsesser and Precious Lee on its April 2023 cover with the headline “The New Supers”. Eighteen months later, however, the fashion industry has pivoted, with several insiders lamenting a new resistance to inclusivity. “I now feel that some of the higher-end designers looked at curvier women more as a fad in fashion rather than something that is real life,” Shillinglaw said, noting that the average dress size in Britain is a 16. Chanel included some mid-size and plus-size models this season, but other luxury brands did not. Instead, it was left to emerging brands, including Karoline Vitto in London and Ester Manas in Paris, to bolster body divers","Fashion experts raise concern about return to ‘extremely thin models’. Fashion insiders have expressed concerns that previous progress made towards size inclusivity in the industry is being curtailed. Vogue Business released its spring/summer ‘25 size inclusivity report on Tuesday and said: “We are facing a worrying return to using extremely thin models” with “a plateau in size inclusivity efforts across New York, London, Milan and Paris”. Of the 8,763 looks presented across 208 shows in the womenswear collections earlier this month, 94.9% were shown on straight-size models who measure between a US size 0-4 (the equivalent of a UK 4-8). Only 0.8% of models were plus-size, also known as curve (UK 18+), and 4.3% were mid-size (UK 10-16). In Milan, 98% of looks were shown on straight-size models, and Vogue Business said some mid-size figures were skewed by co-ed brands that featured menswear looks modelled by muscular men. “It feels like we’ve taken 10 steps backwards,” said Anna Shillinglaw, the founder of the model agency Milk Management. Thin models have ",Fashion,https://www.theguardian.com/fashion/2024/oct/11/fashion-experts-raise-concern-about-return-to-using-extremely-thin-models,"""prada"" AND (""luxury"" OR ""fashion"" OR ""stock"")"
lifeandstyle/2024/oct/13/going-matte-without-losing-all-the-glow,2024-10-13,Going matte without losing all the glow ,"Here’s the thing with glowy skin. In photographs, it is lost in translation. That glossy, glassy skin looks a bit too much and can simply look greasy. But what’s the alternative? Super-matte skin that makes you look dead? No, there’s a balance. Start with a makeup primer that gives a glow, but not too much. Avoid oily foundations. Only highlight key points, like the top of the cheekbones (no one needs a highlighted forehead) and always have a finely milled translucent powder to hand. Bergamot Glow Prada Reset Rebalancing Setting Powder £49, selfridges.com Too Faced Born This Way Soft Matte Foundation £38, boots.com Byredo Matte Lipstick £50, byredo.com Dolce &amp; Gabbana Bergamot Glow Primer £42, dolcegabbana.com Violette FR Bisou Balm £30, violettefr.com I can’t do without… A super-powered serum that gives skin that extra special zing People are still afraid of retinol. But retinol has had a makeover. No longer is it that thing that stings and burns and leaves your skin shedding like a snake on acid. No, there are now, thank goodness, kinder, more modern iterations of the skincare polymath that does everything from smoothing to brightening the skin. Like Kate Somerville’s Mega A Skin Transforming Serum. The name of this serum really sets the bar high, doesn’t it? When a product tells me it will transform my skin, I roll up my sleeves and say bring it on, cynical as to whether it will actually deliver. But you’ll be pleased to know that this serum not only lives up to expectation, it exceeds it. Powered by a clinical-grade retinol, it is 11 x more powerful that your regular retinol and yet gentle enough to use every single day. The downside associated with retinols – the burning, the peeling, dryness, etc – is nowhere to be seen. Perhaps that is because this light milky yellow-hued serum includes ingredients such as hyaluronic acid and squalene, meaning your skin’s hydration and elasticity is through the roof. Also it means it is totally suitable for the most sensi","Going matte without losing all the glow . Here’s the thing with glowy skin. In photographs, it is lost in translation. That glossy, glassy skin looks a bit too much and can simply look greasy. But what’s the alternative? Super-matte skin that makes you look dead? No, there’s a balance. Start with a makeup primer that gives a glow, but not too much. Avoid oily foundations. Only highlight key points, like the top of the cheekbones (no one needs a highlighted forehead) and always have a finely milled translucent powder to hand. Bergamot Glow Prada Reset Rebalancing Setting Powder £49, selfridges.com Too Faced Born This Way Soft Matte Foundation £38, boots.com Byredo Matte Lipstick £50, byredo.com Dolce &amp; Gabbana Bergamot Glow Primer £42, dolcegabbana.com Violette FR Bisou Balm £30, violettefr.com I can’t do without… A super-powered serum that gives skin that extra special zing People are still afraid of retinol. But retinol has had a makeover. No longer is it that thing that stings and burns and leaves your skin shedding like",Life and style,https://www.theguardian.com/lifeandstyle/2024/oct/13/going-matte-without-losing-all-the-glow,"""prada"" AND (""luxury"" OR ""fashion"" OR ""stock"")"
business/2024/oct/16/louis-vuitton-owner-lvmh-surprise-sales-drop-china-slowdown,2024-10-16,Louis Vuitton owner LVMH reports surprise sales drop amid China slowdown,"Shares in luxury goods brands slumped after Louis Vuitton’s LVMH reported an unexpected fall in third-quarter sales amid China’s economic slowdown. Shares in LVMH, which also owns Dior, Tiffany and Moët &amp; Chandon, fell by as much as 7% in early trading, briefly hitting a two-year low, before regaining slightly, after it warned of an “uncertain economic and geopolitical environment”,with falling sales in Asia. It came after weaker spending by Chinese consumers on cognac, designer handbags and clothing hit group revenues, which fell to €19.1bn (£16bn) in the three months to the end of September, 3% lower than the same period a year earlier. The company said the fall in revenue, which was released after market close on Tuesday, “mainly arose from lower growth seen in Japan, essentially due to the stronger yen”. The slide in LVMH shares prompted wider weakness across the luxury goods sector, as shares also fell in its smaller rival Kering, the owner of Gucci, as well as Hermès and Burberry. Sales in the group’s fashion and leather goods division, considered a bellwether for the luxury goods sector, slid by 5%. It marked the first slowdown in the division’s quarterly sales since the Covid pandemic closed shops across the world. Sales in Europe grew by just 2%, despite the firm’s hopes that the “high visibility” of Louis Vuitton’s leather goods during recent sporting events would drive revenue. Its trunks were used during the Paris Olympic and Paralympic Games, while it also transported the trophy for the America’s Cup sailing race currently being held in Barcelona. LVMH, whose majority owner is the billionaire Bernard Arnault, and its rivals have been suffering for several months as Chinese consumers, spooked by a slowing economy, have reined in their spending. The slump in Chinese demand for designer handbags and clothing in China has put the brakes on rising sales of luxury goods brands over the past decade and prompted analysts to lower their forecasts for the sec","Louis Vuitton owner LVMH reports surprise sales drop amid China slowdown. Shares in luxury goods brands slumped after Louis Vuitton’s LVMH reported an unexpected fall in third-quarter sales amid China’s economic slowdown. Shares in LVMH, which also owns Dior, Tiffany and Moët &amp; Chandon, fell by as much as 7% in early trading, briefly hitting a two-year low, before regaining slightly, after it warned of an “uncertain economic and geopolitical environment”,with falling sales in Asia. It came after weaker spending by Chinese consumers on cognac, designer handbags and clothing hit group revenues, which fell to €19.1bn (£16bn) in the three months to the end of September, 3% lower than the same period a year earlier. The company said the fall in revenue, which was released after market close on Tuesday, “mainly arose from lower growth seen in Japan, essentially due to the stronger yen”. The slide in LVMH shares prompted wider weakness across the luxury goods sector, as shares also fell in its smaller rival Kering, the owner of Gucci, as well as Hermès and Burb",Business,https://www.theguardian.com/business/2024/oct/16/louis-vuitton-owner-lvmh-surprise-sales-drop-china-slowdown,"""LVMH"" AND ""fashion"""
fashion/2024/oct/18/why-the-tim-walz-style-barn-jacket-gets-my-vote,2024-10-18,Why the Tim Walz-style barn jacket gets my vote,"When Miuccia Prada and one of the US vice-presidential candidates both want you to wear the same kind of jacket, you’ve got to think the universe is trying to tell you something, right? Miuccia Prada has reigned over the fashion world for four decades, because she has a flawless instinct for what looks stylish rather than just trendy. Occasionally, she will put out a collection in which her taste feels a little off-key, and six months later the rest of the world catches up with her and you realise that, no, she wasn’t wrong; she was just ahead of her time. When Mrs P says we should wear barn jackets, as she did at Prada in February, we should probably wear barn jackets. And then there’s the fact that a vote for barn jackets is a vote for the Harris-Walz campaign. Tim Walz’s normcore centrist dad energy has given the Democrats a boost. Voters like him and trust him, which is low-key astonishing for a politician these days. His clothes – and I use that word deliberately because the whole point is that it’s not a look, or a style, it’s just his clothes – are part of it. He looks like a nice guy. Along with jeans, plaid shirts and baseball caps, a barn jacket is one of his signatures. But what is a barn jacket? I don’t know that I had ever heard the term, until recently. An Americanism, I guess. But I’ve seen the jacket, and you have too. Carhartt makes one it calls the OG Chore Coat, and you have definitely seen this jacket, or versions of this jacket, around. A straight boxy jacket in heavy-duty cotton, maybe waxed, with a simple corduroy collar, hard-wearing snap buttons and patch pockets. The lining is probably checked. It should be hip-length, so that your hands can rest snugly into the bottom pockets as you walk, which is how they were worn on the Prada catwalk, where they were styled with fancy skirts and kitten heels. The style owes a lot to the Barbour jacket, but it’s a bit more down on the farm than country house weekend party. Uniqlo has a version called the","Why the Tim Walz-style barn jacket gets my vote. When Miuccia Prada and one of the US vice-presidential candidates both want you to wear the same kind of jacket, you’ve got to think the universe is trying to tell you something, right? Miuccia Prada has reigned over the fashion world for four decades, because she has a flawless instinct for what looks stylish rather than just trendy. Occasionally, she will put out a collection in which her taste feels a little off-key, and six months later the rest of the world catches up with her and you realise that, no, she wasn’t wrong; she was just ahead of her time. When Mrs P says we should wear barn jackets, as she did at Prada in February, we should probably wear barn jackets. And then there’s the fact that a vote for barn jackets is a vote for the Harris-Walz campaign. Tim Walz’s normcore centrist dad energy has given the Democrats a boost. Voters like him and trust him, which is low-key astonishing for a politician these days. His clothes – and I use that word deliberately because the whole",Fashion,https://www.theguardian.com/fashion/2024/oct/18/why-the-tim-walz-style-barn-jacket-gets-my-vote,"""prada"" AND (""luxury"" OR ""fashion"" OR ""stock"")"
tv-and-radio/2024/oct/18/tv-tonight-the-truth-about-one-of-hollywoods-most-puzzling-scandals,2024-10-18,TV tonight: the truth about one of Hollywood’s most puzzling scandals ,"The Man Who Definitely Didn’t Steal Hollywood 9pm, BBC Two “One of the most enigmatic deals in Hollywood.” Insiders tell film-maker John Dower the scandalous story of Giancarlo Parretti, one that has all the makings of a juicy movie script. Parretti was a former waiter with a “murky past” who bought the MGM studios for $1.3bn in 1990 – but he couldn’t account for the mysterious money he handed over. He helps tell the full tale himself in a lively documentary. Hollie Richardson Our Lives: The Lakes – Our Life on the Edge 7.30pm, BBC One Passionate free solo climbers Anna and Mat take their relationship to new heights on a 100-mile climbing adventure in the Lakes with no safety gear. Apparently, this is the ultimate stress test for couples starting out. Sure, but have they ever navigated an Ikea car park on a bank holiday weekend? Ellen E Jones Dispatches: Vinted’s Dirty Laundry 7.30pm, Channel 4 It seems that most of us have earned a few quid by reselling our unwanted clothes on the Vinted app – while purchasing a few bargains along the way. But is the eco-idea too good to be true? Journalist Ellie Flynn investigates a potential murky side. HR The Walking Dead: Daryl Dixon – The Book of Carol 9pm, Sky Max This Walking Dead offshoot set in France has proved it has legs: a third season has already been confirmed. As this one continues, grubby biker Daryl and capable nun Isabelle are on a rescue mission, while Daryl’s longstanding BFF Carol – now on the right continent at least – continues her search. Graeme Virtue The Cleaner 9.30pm, BBC One This breezy sitcom continues with Greg Davies’s crime-scene cleaner Wicky once again finding himself up to his elbows in blood and awkwardness. He’s sent to a community centre running events for elderly people, and finds a hotbed of rivalry, rancour and excruciating communal singing. Phil Harrison The Graham Norton Show 10.40pm, BBC One Coming soon: Amy Adams playing a woman who turns into a dog in Nightbitch; Bruce Springsteen in ","TV tonight: the truth about one of Hollywood’s most puzzling scandals . The Man Who Definitely Didn’t Steal Hollywood 9pm, BBC Two “One of the most enigmatic deals in Hollywood.” Insiders tell film-maker John Dower the scandalous story of Giancarlo Parretti, one that has all the makings of a juicy movie script. Parretti was a former waiter with a “murky past” who bought the MGM studios for $1.3bn in 1990 – but he couldn’t account for the mysterious money he handed over. He helps tell the full tale himself in a lively documentary. Hollie Richardson Our Lives: The Lakes – Our Life on the Edge 7.30pm, BBC One Passionate free solo climbers Anna and Mat take their relationship to new heights on a 100-mile climbing adventure in the Lakes with no safety gear. Apparently, this is the ultimate stress test for couples starting out. Sure, but have they ever navigated an Ikea car park on a bank holiday weekend? Ellen E Jones Dispatches: Vinted’s Dirty Laundry 7.30pm, Channel 4 It seems that most of us have earned a few quid by reselling our unwanted clothes on the Vin",Television & radio,https://www.theguardian.com/tv-and-radio/2024/oct/18/tv-tonight-the-truth-about-one-of-hollywoods-most-puzzling-scandals,"""devil wears prada"""
